image,study_result_570816,study_result_570817,study_result_570818,study_result_570819,study_result_570820,study_result_570821,study_result_570823,study_result_570824,study_result_570825,study_result_570839,study_result_570841,study_result_570842,study_result_570843,study_result_570844,study_result_570845,study_result_570846,study_result_570848,study_result_570851,study_result_570853,study_result_570854,study_result_570863,study_result_570864,study_result_570865,study_result_570866,study_result_570867,study_result_570868,study_result_570870,study_result_570871,study_result_570872,study_result_570878,study_result_570888,study_result_570889,study_result_570890,study_result_570891,study_result_570892,study_result_570893,study_result_570896,study_result_570897,study_result_570899,study_result_570956,study_result_570957,study_result_570958,study_result_570959,study_result_570961,study_result_570962,study_result_570963,study_result_570969,study_result_570970,study_result_570976,study_result_570977,study_result_570981,phy-dist,vis-sim
Cat_dog,4,2,2,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,2,4,4,4,4,4,3,4.01,0.94
Cow_Lion,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,1,4,4,3,4,4,3,4,4,4,4,2,2,4.33,0.91
Cow_Mouse,4,4,4,4,4,3,1,4,4,4,4,4,4,2,4,4,2,3,4,4,4,4,4,2,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,3,4,4,4,4,3,4,4,4,4,4,4,4.54,0.9
Cow_dog,4,4,4,4,4,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4.33,0.89
Deer_Elephant ,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,2,4,4,4,4,4,3,4.6,0.9
Deer_Chicken,3,4,4,4,4,3,4,4,4,4,4,4,3,4,1,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,5.77,0.9
Deer_Eagle,4,4,4,4,4,3,3,4,4,4,4,4,2,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,1,4,3,5.77,0.88
Deer_Fish,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,6.14,0.88
Deer_Mouse,4,4,4,4,4,3,4,4,4,4,4,4,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,2,4,4,4,4,2,4,3,4,1,4,4,4.54,0.9
Deer_Swan,4,4,4,4,4,3,4,4,4,4,4,4,2,3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,5.77,0.91
Dog_Bear,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,4,4,3,3.81,0.92
Dog_Raccoon,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,4,3,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,3.81,0.88
Donkey_Cow,4,4,4,3,4,3,4,4,3,4,4,4,3,2,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,4,4,1,3,4,4,4,4,4,1,4,4,4,4,4,2,4,1,4,4,4,4,4.33,0.91
Donkey_Dog,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,2,4,3,4,4,3,4,4,4,4,3,4,1,2,3,3,4,4,3,4,3,4,4,2,4,4.26,0.89
Duck_Fox,4,4,4,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,5.77,0.89
Eagle_Duck,3,4,4,3,4,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,2,4,4,3,4,4,4,4,4,4,2,3,3,2,4,4,3,4,2,4,4,4,4,4.51,0.89
Fox_Chicken,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,2,4,4,3,4,4,4,4,4,1,1,4,4,4,4,4,3,4,4,4,4,4,4,5.77,0.88
Fox_Duck,4,4,4,4,4,3,4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,4,4,3,5.77,0.89
Fox_Frog,4,4,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,4,4,4,5.86,0.85
Fox_Goat,4,4,4,4,4,3,4,4,4,4,4,4,2,3,4,4,2,3,1,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,4,4,4,4.33,0.89
Fox_Mouse,3,4,3,3,4,3,4,4,4,4,4,4,3,2,4,4,4,3,2,4,4,3,3,3,4,4,4,1,2,4,3,3,4,4,4,4,4,4,1,4,4,4,4,4,2,4,3,4,4,4,4,4.54,0.89
Frog_Turtle,4,4,4,4,4,3,4,4,4,4,4,3,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,4,4,4,5.77,0.88
Giraffe_Dog,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,3,4,4,4,4,4,4,1,4,4,4,4,4,2,4,3,4,4,4,4,4.33,0.89
Giraffe_Donkey,4,4,4,3,4,3,4,4,3,4,4,4,4,2,4,4,2,3,2,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,3,3,4,4,4,1,4,2,4,4,4,4,4.33,0.9
Giraffe_Fox,4,4,4,3,4,3,4,4,4,4,4,4,4,2,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,2,4,3,4,3,4,4,4.33,0.86
Giraffe_Lion,4,4,4,4,4,3,4,4,4,4,4,4,3,1,4,4,2,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,4.33,0.9
Giraffe_Ostrich,3,4,4,4,4,3,4,4,3,4,4,4,4,2,4,4,3,4,4,4,2,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,1,4,4,4,4,2,3,4,2,4,4,4,4,5.77,0.93
Giraffe_Zebra,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4.33,0.92
Gorilla_Deer,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,1,4,4,3.3,0.89
Gorilla_bear,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,2,4,2,4,4,4,4,4.33,0.9
Horse_Bird,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,5.77,0.87
Horse_Cow,4,4,4,4,4,3,4,4,2,4,4,4,4,3,4,4,2,2,2,4,3,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,3,4,4,4,4,3,4,4,4,4,4,2,4.33,0.92
Horse_Kangaroo,4,4,4,4,4,3,4,4,4,4,4,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,1,4,4,2,4,4,4,4,4,4,5.08,0.89
Horse_fox,4,4,4,4,4,3,4,4,4,4,4,4,3,2,4,4,3,4,2,4,4,4,4,4,4,4,3,4,2,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,4,4,4,4.26,0.89
Horse_monkey,4,4,4,3,4,3,4,4,3,4,4,4,4,3,4,4,4,2,3,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4.54,0.88
Kangaroo_Camel,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,2,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,5.08,0.9
Kangaroo_Chicken,4,4,4,4,2,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,4,3,4,4,4,4,4,4,1,4,4,3,2,4,2,4,4,4,4,4,4,5.77,0.88
Kangaroo_Fox,3,4,2,4,4,3,4,4,4,4,4,3,4,2,4,4,2,2,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,5.08,0.87
Kangaroo_horse,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,4,4,4,5.08,0.89
Leopard_Zebra,2,4,4,3,4,3,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,1,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,3,4.26,0.91
Lion_Bear,4,4,4,4,4,3,4,4,2,4,4,4,2,4,4,3,4,2,4,4,3,4,4,4,4,4,4,4,2,4,3,3,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,4,4,4,4.01,0.92
Monkey_Dog,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,1,4,4,4.54,0.87
Monkey_Squirrel,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,1,4,4,4,4,4,3,4,3,4,3,4,4,2,4,4,4,4,4,4,1,4,3,4,4,4,3,4,4,4,4,4,3,4.47,0.91
Mouse_Donkey,3,4,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,3,2,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,3,4,4,4,4,4.54,0.88
Mouse_Raccoon,4,4,4,4,4,3,1,4,4,4,4,4,4,3,4,4,4,4,2,4,4,3,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,2,4,2,4,4,4,4,4.54,0.89
Ostrich_Giraffe,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,5.77,0.93
Ostrich_Kangaroo,3,4,4,4,4,3,4,4,4,4,4,4,4,4,1,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,1,4,4,3,4,4,3,4,4,4,4,4,3,5.77,0.91
Peacock_Deer,4,4,4,4,4,3,1,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,1,4,4,6.53,0.89
Peacock_Elephant,4,4,4,4,4,3,4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,4,4,4,6.53,0.88
Penguin_Chicken,4,4,4,4,4,3,4,4,4,4,4,4,2,2,4,3,4,4,3,4,2,3,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,1,2,4,4,4,4,1,4,4,4,4,4,4,6.53,0.9
Rabbit_raccoon,4,4,2,4,4,3,4,4,4,4,4,4,2,2,4,4,4,4,2,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,2,4,3,4,4,2,4,2,4,4,4,3,4.01,0.92
Rabbit_Camel,4,4,4,4,4,3,4,2,3,4,4,4,1,2,4,4,2,4,4,4,2,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,3,4,4,4,2,4,4,4,4,4,4,4.54,0.88
Rabbit_Owl,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,5.77,0.89
Rabbit_deer,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,4,4,4,4.54,0.91
Raccoon_Lion,4,4,4,3,4,3,4,4,4,4,4,3,3,2,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,4,4,3,2,4,4,4,4,4,1,3,4,4,4,4,2,4,2,4,1,4,4,4.01,0.88
Raccoon_mouse,4,4,4,4,4,3,4,4,4,4,4,4,2,2,4,2,4,2,1,4,4,3,4,4,4,4,3,4,3,1,3,3,4,4,4,4,4,4,4,4,3,4,2,4,2,4,2,4,4,4,3,4.54,0.89
Raccoon_rabbit,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,3,4,2,4,4,4,3,4,2,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,3,3,4,4,4,1,4,4,4.54,0.9
Rhinoceros_Alligator,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,5.77,0.89
Rhinoceros_Cow,4,4,4,3,4,3,4,4,3,4,4,4,4,2,4,4,4,4,3,4,4,4,4,4,4,4,3,4,2,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,2,4,2,4,4,4,4,4.33,0.92
Rhinoceros_Elephant ,4,4,4,4,4,3,4,4,4,4,4,4,3,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4.6,0.93
Rhinoceros_Horse,4,4,4,4,4,3,4,4,3,4,4,4,3,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,2,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,4.01,0.91
Rooster_Camel,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,5.77,0.89
Rooster_Dog,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,5.77,0.89
Rooster_Eagle,4,4,4,3,4,3,4,4,3,4,4,4,4,3,4,2,3,4,3,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,1,3,3,4,4,4,2,4,2,4,4,4,2,4.51,0.91
Rooster_Squirrel,4,4,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,5.77,0.89
Seal_Rabbit,4,4,4,4,4,3,4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,4.54,0.89
Squirrel_Cat,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,2,4,4,3,4,4,4,4,4,4,1,4,3,4,4,4,2,4,4,4,4,4,4,4.54,0.92
Squirrel_Rooster,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,3,2,4,4,4,4,2,3,5.77,0.89
Swan_Deer,4,4,4,4,4,3,4,4,3,4,4,4,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,1,4,4,5.77,0.91
Swan_Turtle,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,4,4,4,5.56,0.89
Tiger_Raccoon,4,4,4,3,4,3,4,4,4,4,4,3,2,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,2,3,4,4,4,3,4,2,4,4,4,4,4.01,0.88
Zebra_Deer,4,4,4,4,4,3,4,1,4,4,4,4,2,3,1,4,4,3,4,4,3,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,3,4,4,4,4,2,4,4,4,4,4,3,4.33,0.92
cat_rooster,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,3,4,4,4,2,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,1,4,4,5.77,0.89
deer_sheep,3,4,4,3,4,3,2,4,3,4,4,4,3,3,4,4,3,4,1,4,3,3,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,1,2,3,4,2,4,3,4,4,4,4,3,3,3.14,0.92
donkey_rooster,4,4,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,5.77,0.9
elephant_deer,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4.6,0.9
horse_goat,3,4,4,4,4,3,4,4,4,4,4,4,3,2,4,4,4,2,4,4,4,4,4,4,2,4,2,4,2,4,4,3,4,4,4,1,4,4,1,4,3,3,4,4,2,4,2,4,4,4,4,4.33,0.93
lion_cow,4,4,4,4,4,3,4,4,4,4,4,4,2,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,4,3,4,4,4,3,4,4,4,4,4,4,4.33,0.91
swan_Peacock,2,4,3,3,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,3,3,4,3,4,1,4,2,4,4,4,4,6.53,0.91
