image,study_result_570816,study_result_570817,study_result_570818,study_result_570819,study_result_570820,study_result_570821,study_result_570823,study_result_570824,study_result_570825,study_result_570839,study_result_570841,study_result_570842,study_result_570843,study_result_570844,study_result_570845,study_result_570846,study_result_570848,study_result_570851,study_result_570853,study_result_570854,study_result_570863,study_result_570864,study_result_570865,study_result_570866,study_result_570867,study_result_570868,study_result_570870,study_result_570871,study_result_570872,study_result_570878,study_result_570888,study_result_570889,study_result_570890,study_result_570891,study_result_570892,study_result_570893,study_result_570896,study_result_570897,study_result_570899,study_result_570956,study_result_570957,study_result_570958,study_result_570959,study_result_570961,study_result_570962,study_result_570963,study_result_570969,study_result_570970,study_result_570976,study_result_570977,study_result_570981,vis-sim,phy-dist,
Giraffe_Fox,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,4,1,4,1,1,2,1,3,2,1,1,1,3,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,0.86,4.33,Giraffe_Fox
Giraffe_Lion,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,4.33,Giraffe_Lion
Giraffe_Ostrich,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,3,1,1,3,1,1,3,1,2,1,3,1,1,1,1,3,1,4,1,1,1,1,1,2,1,1,2,1,1,1,1,0.93,5.77,Giraffe_Ostrich
Giraffe_Zebra,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,3,4,4,4,3,1,1,1,4,1,2,1,2,3,1,2,1,4,1,2,1,2,1,4,1,1,1,1,1,2,1,1,1,1,1,1,0.92,4.33,Giraffe_Zebra
Gorilla_Deer,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,0.89,3.3,Gorilla_Deer
Gorilla_bear,1,2,1,1,1,1,1,1,1,1,1,1,3,3,1,2,4,1,1,1,1,1,1,3,1,1,1,1,3,1,3,1,1,1,3,1,1,1,4,1,1,1,2,1,1,1,1,1,1,1,1,0.9,4.33,Gorilla_bear
Horse_Bird,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.87,5.77,Horse_Bird
Horse_Cow,2,2,1,1,1,1,1,4,3,1,1,1,3,3,1,3,2,3,3,3,1,1,1,1,1,2,1,2,2,4,3,1,1,1,3,1,2,1,1,2,2,1,1,2,1,4,1,2,1,1,3,0.92,4.33,Horse_Cow
Horse_Kangaroo,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,2,2,1,1,1,2,1,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.89,5.08,Horse_Kangaroo
Horse_fox,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,3,1,3,1,1,1,1,3,1,1,2,1,3,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.89,4.26,Horse_fox
Horse_monkey,1,3,1,2,1,2,1,2,3,1,1,1,3,3,1,3,4,3,4,3,1,2,1,1,1,3,4,3,2,1,3,1,1,1,3,1,1,2,4,1,1,4,1,1,1,1,1,1,3,1,1,0.88,4.54,Horse_monkey
Kangaroo_Camel,2,1,1,1,1,1,1,4,1,1,1,1,3,1,1,2,4,1,3,1,1,4,1,3,2,1,1,1,3,1,2,1,1,1,2,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,0.9,5.08,Kangaroo_Camel
Kangaroo_Chicken,1,2,1,1,1,2,1,2,1,1,1,1,3,2,3,3,4,2,1,3,1,4,1,2,1,3,3,1,3,1,2,2,1,1,2,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,2,0.88,5.77,Kangaroo_Chicken
Kangaroo_Fox,4,2,2,2,2,1,1,3,1,1,1,2,1,3,1,2,2,3,3,1,1,2,1,1,1,4,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0.87,5.08,Kangaroo_Fox
Kangaroo_horse,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.89,5.08,Kangaroo_horse
Leopard_Zebra,2,1,1,2,1,2,1,1,1,1,1,1,3,3,2,2,2,1,1,3,1,2,1,3,1,1,2,2,3,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0.91,4.26,Leopard_Zebra
Lion_Bear,2,2,1,1,1,1,1,1,2,1,1,1,2,4,2,2,4,3,2,2,3,2,1,3,1,1,1,1,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92,4.01,Lion_Bear
Monkey_Dog,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,0.87,4.54,Monkey_Dog
Monkey_Squirrel,2,1,1,4,3,3,1,1,1,1,1,1,1,1,4,3,3,1,1,1,1,1,1,4,4,2,3,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,0.91,4.47,Monkey_Squirrel
Mouse_Donkey,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,2,1,2,1,1,1,1,2,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,0.88,4.54,Mouse_Donkey
Mouse_Raccoon,1,1,1,1,1,2,4,1,1,1,1,1,3,3,1,2,2,1,2,2,1,2,1,1,3,1,1,2,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0.89,4.54,Mouse_Raccoon
Ostrich_Giraffe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.93,5.77,Ostrich_Giraffe
Ostrich_Kangaroo,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,4,1,1,2,1,2,1,2,1,1,3,1,2,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0.91,5.77,Ostrich_Kangaroo
Peacock_Deer,1,1,1,1,1,1,1,1,2,1,1,1,3,3,1,2,4,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,0.89,6.53,Peacock_Deer
Peacock_Elephant,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,4,1,1,1,1,2,1,2,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0.88,6.53,Peacock_Elephant
Penguin_Chicken,2,1,1,1,3,1,1,2,1,1,1,1,2,2,1,3,2,1,1,1,2,2,1,2,3,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,1,1,1,2,0.9,6.53,Penguin_Chicken
Rabbit_Raccoon,2,1,2,1,1,1,1,2,1,1,1,2,1,3,1,2,4,1,1,2,1,1,1,3,1,4,3,2,1,1,2,1,4,1,2,1,1,1,4,1,1,2,1,1,1,1,2,1,1,1,2,0.92,4.01,Rabbit_raccoon
Rabbit_Camel,2,1,1,1,1,1,1,1,2,1,1,1,4,3,1,1,2,2,1,1,3,1,1,3,1,1,2,1,3,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.88,4.54,Rabbit_Camel
Rabbit_Owl,1,2,1,2,2,1,1,2,1,1,1,1,3,3,2,2,4,1,1,2,3,2,1,2,1,1,1,1,3,1,2,2,1,3,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,3,0.89,5.77,Rabbit_Owl
Rabbit_deer,1,1,1,1,2,1,1,2,1,1,1,1,3,1,1,1,2,1,1,2,1,2,1,1,1,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.91,4.54,Rabbit_deer
Raccoon_Lion,2,2,1,4,1,2,1,1,1,1,1,2,1,4,4,3,4,1,2,2,1,2,1,3,4,3,4,3,2,1,2,1,1,1,4,1,2,1,1,2,1,1,4,4,3,1,2,1,4,1,1,0.88,4.01,Raccoon_Lion
Raccoon_mouse,2,2,1,1,1,2,1,3,1,1,1,1,2,2,1,3,4,3,1,1,1,2,4,4,2,1,3,1,3,1,3,1,1,1,4,1,2,1,4,1,2,1,2,3,1,1,2,1,1,1,2,0.89,4.54,Raccoon_mouse
Raccoon_rabbit,1,1,1,1,1,2,1,1,1,1,1,2,3,3,2,3,4,3,4,3,1,2,1,3,2,1,1,3,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,4,1,2,0.9,4.54,Raccoon_rabbit
Rhinoceros_Alligator,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,2,1,1,1,1,1,1,3,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.89,5.77,Rhinoceros_Alligator
Rhinoceros_Cow,2,3,1,2,1,2,1,1,4,1,1,1,3,3,3,2,4,2,3,3,1,2,1,2,1,3,3,2,3,4,3,3,1,2,2,1,1,1,4,2,1,1,1,3,1,1,3,1,1,1,1,0.92,4.33,Rhinoceros_Cow
Rhinoceros_Elephant ,2,2,1,1,1,1,1,1,1,1,1,1,3,2,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,1,1,1,1,1,2,1,1,2,1,1,1,0.93,4.6,Rhinoceros_Elephant 
Rhinoceros_Horse,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,3,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.91,4.01,Rhinoceros_Horse
Rooster_Camel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.89,5.77,Rooster_Camel
Rooster_Dog,1,4,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.89,5.77,Rooster_Dog
Rooster_Eagle,2,3,1,3,2,2,1,3,2,1,1,1,4,2,1,3,2,3,3,3,3,4,1,4,3,3,1,3,3,1,2,2,4,1,3,1,1,4,1,3,1,4,1,1,2,1,3,1,1,1,4,0.91,4.51,Rooster_Eagle
Rooster_Squirrel,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,4,1,1,2,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.89,5.77,Rooster_Squirrel
Seal_Rabbit,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.89,4.54,Seal_Rabbit
Squirrel_Cat,2,1,1,1,1,4,1,1,3,1,1,1,1,1,1,2,4,4,3,3,1,1,1,3,3,1,1,3,2,1,2,3,4,1,2,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,0.92,4.54,Squirrel_Cat
Squirrel_Rooster,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,1,2,1,2,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0.89,5.77,Squirrel_Rooster
Swan_Deer,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,4,1,3,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,0.91,5.77,Swan_Deer
Swan_Turtle,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.89,5.56,Swan_Turtle
Tiger_Raccoon,3,1,1,2,3,3,1,2,1,1,1,3,2,3,4,3,4,2,1,2,4,2,1,3,2,1,1,1,2,1,3,1,1,1,3,1,1,2,1,3,1,1,1,1,1,1,2,1,1,1,1,0.88,4.01,Tiger_Raccoon
Zebra_Deer,2,3,1,1,2,1,1,2,1,1,1,2,2,3,3,3,4,2,1,3,4,3,1,2,1,1,1,3,3,1,3,1,4,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,4,1,2,0.92,4.33,Zebra_Deer
cat_rooster,1,1,1,1,2,2,1,3,1,1,1,1,1,3,1,3,3,1,4,1,1,1,1,2,3,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,0.89,5.77,cat_rooster
deer_sheep,1,2,1,2,1,1,2,1,4,1,1,1,4,3,4,2,3,2,2,2,2,3,1,1,1,3,1,1,2,1,3,1,1,1,2,2,2,4,1,2,2,1,1,1,1,1,1,1,1,2,1,0.92,3.14,deer_sheep
donkey_rooster,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,5.77,donkey_rooster
elephant_deer,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,4.6,elephant_deer
horse_goat,1,2,1,2,2,1,1,2,1,1,1,1,4,3,1,2,4,2,1,3,3,1,1,2,3,3,3,1,3,1,4,1,4,1,1,1,1,1,1,1,1,2,1,1,2,1,3,1,1,1,1,0.93,4.33,horse_goat
lion_cow,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,2,2,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0.91,4.33,lion_cow
swan_Peacock,3,2,1,2,1,1,1,1,4,1,1,2,2,4,1,1,4,2,4,1,1,1,1,2,1,4,1,4,2,1,3,2,1,3,2,1,2,1,1,3,1,1,4,2,2,1,3,1,1,1,1,0.91,6.53,swan_Peacock
